"SampID","HabitatSampled"
"35","submerged wood"
"34","riffles"
"34","cobbles"
"34","runs"
"34","stream margins"
"34","leaf packs"
"34","pools"
"34","undercut overhanging"
"34","submerged wood"
"36","riffles"
"36","cobbles"
"36","aquatic plants"
"36","runs"
"36","margins"
"36","leaf packs"
"36","undercut overhanging"
"36","submerged wood"
"31","undercut overhanging"
"31","leaf packs"
"31","pools"
"31","cobbles"
"37","riffles"
"37","cobbles"
"37","aquatic plants"
"37","runs"
"37","stream margins"
"37","leaf packs"
"37","pools"
"37","undercut overhanging"
"37","submerged wood"
"37","other"
"38","riffles"
"38","cobbles"
"38","aquatic plants"
"38","runs"
"38","stream margins"
"38","pools"
"38","undercut overhanging"
"38","submerged wood"
"39","other"
"39","other"
"41","riffles"
"41","cobbles"
"41","aquatic plants"
"41","other"
"41","runs"
"41","stream margins"
"41","leaf packs"
"41","pools"
"41","undercut overhanging"
"41","submerged wood"
"42","riffles"
"42","cobbles"
"42","runs"
"42","stream margins"
"42","leaf packs"
"42","pools"
"42","undercut overhanging"
"42","submerged wood"
"43","riffles"
"43","cobbles"
"43","aquatic plants"
"43","other"
"43","runs"
"43","stream margins"
"43","leaf packs"
"43","pools"
"43","undercut overhanging"
"43","submerged wood"
"44","riffles"
"44","cobbles"
"44","aquatic plants"
"44","pools"
"44","undercut overhanging"
"45","riffles"
"45","cobbles"
"45","runs"
"45","stream margins"
"45","leaf packs"
"45","pools"
"45","undercut overhanging"
"45","submerged wood"
"46","riffles"
"46","cobbles"
"46","aquatic plants"
"46","runs"
"46","stream margins"
"46","leaf packs"
"46","pools"
"46","undercut overhanging"
"46","submerged wood"
"47","riffles"
"47","cobbles"
"47","aquatic plants"
"47","runs"
"47","leaf packs"
"47","pools"
"47","undercut overhanging"
"47","submerged wood"
"48","riffles"
"48","cobbles"
"48","aquatic plants"
"48","runs"
"48","stream margins"
"48","leaf packs"
"48","pools"
"48","undercut overhanging"
"48","submerged wood"
"49","riffles"
"49","cobbles"
"49","runs"
"49","stream margins"
"49","leaf packs"
"49","pools"
"49","undercut overhanging"
"50",""
"51","aquatic plants"
"51","runs"
"51","leaf packs"
"51","pools"
"51","undercut overhanging"
"51","submerged wood"
"52","cobbles"
"52","runs"
"52","stream margins"
"52","leaf packs"
